context,original_value,normalized_value,english_value,translation_strategy,matched_terms
known_or_handled_by,CMGRD DE SUAITA,cmgrd de suaita,Municipal Disaster Risk Management Council of Suaita,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE SUCRE,cmgrd de sucre,Municipal Disaster Risk Management Council of Sucre,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE SURATA,cmgrd de surata,Municipal Disaster Risk Management Council of Surata,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE TONA,cmgrd de tona,Municipal Disaster Risk Management Council of Tona,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE VELEZ,cmgrd de velez,Municipal Disaster Risk Management Council of Velez,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE VETAS,cmgrd de vetas,Municipal Disaster Risk Management Council of Vetas,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE VILLANUEVA,cmgrd de villanueva,Municipal Disaster Risk Management Council of Villanueva,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE ZAPATOCA,cmgrd de zapatoca,Municipal Disaster Risk Management Council of Zapatoca,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DEL CARMEN,cmgrd del carmen,Municipal Disaster Risk Management Council of the Carmen,token_dictionary_match,"cmgrd, del"
known_or_handled_by,CMGRD DEL GUACAMAYO,cmgrd del guacamayo,Municipal Disaster Risk Management Council of the Guacamayo,token_dictionary_match,"cmgrd, del"
known_or_handled_by,CMGRD DEL HATO,cmgrd del hato,Municipal Disaster Risk Management Council of the Hato,token_dictionary_match,"cmgrd, del"
known_or_handled_by,CMGRD DEL PALMAR,cmgrd del palmar,Municipal Disaster Risk Management Council of the Palmar,token_dictionary_match,"cmgrd, del"
known_or_handled_by,CMGRD DEL PARAMO,cmgrd del paramo,Municipal Disaster Risk Management Council of the Paramo,token_dictionary_match,"cmgrd, del"
known_or_handled_by,CMGRD DEL PLAYON,cmgrd del playon,Municipal Disaster Risk Management Council of the Playon,token_dictionary_match,"cmgrd, del"
known_or_handled_by,CMGRD DEL SOCORRO,cmgrd del socorro,Municipal Disaster Risk Management Council of the Socorro,token_dictionary_match,"cmgrd, del"
known_or_handled_by,CMGRD EL CARMEN DE CHUCURI,cmgrd el carmen de chucuri,Municipal Disaster Risk Management Council the Carmen of Chucuri,token_dictionary_match,"cmgrd, el, de"
known_or_handled_by,CMGRD EL GUACAMAYO,cmgrd el guacamayo,Municipal Disaster Risk Management Council the Guacamayo,token_dictionary_match,"cmgrd, el"
known_or_handled_by,CMGRD EL HATO,cmgrd el hato,Municipal Disaster Risk Management Council the Hato,token_dictionary_match,"cmgrd, el"
known_or_handled_by,CMGRD EL PLAYON,cmgrd el playon,Municipal Disaster Risk Management Council the Playon,token_dictionary_match,"cmgrd, el"
known_or_handled_by,CMGRD EL SOCORRO,cmgrd el socorro,Municipal Disaster Risk Management Council the Socorro,token_dictionary_match,"cmgrd, el"
known_or_handled_by,CMGRD ENCINO,cmgrd encino,Municipal Disaster Risk Management Council Encino,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD ENCISO,cmgrd enciso,Municipal Disaster Risk Management Council Enciso,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD ENCSO,cmgrd encso,Municipal Disaster Risk Management Council Encso,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD FLORIAN,cmgrd florian,Municipal Disaster Risk Management Council Florian,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD FLORIDABLANCA,cmgrd floridablanca,Municipal Disaster Risk Management Council Floridablanca,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD GAMBITA,cmgrd gambita,Municipal Disaster Risk Management Council Gambita,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD GIRON,cmgrd giron,Municipal Disaster Risk Management Council Giron,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD GUADALUPE,cmgrd guadalupe,Municipal Disaster Risk Management Council Guadalupe,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD GUAPOTA,cmgrd guapota,Municipal Disaster Risk Management Council Guapota,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD JESUS MARIA,cmgrd jesus maria,Municipal Disaster Risk Management Council Jesus Maria,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD LA BELLEZA,cmgrd la belleza,Municipal Disaster Risk Management Council the Belleza,token_dictionary_match,"cmgrd, la"
known_or_handled_by,CMGRD LANDAZURI,cmgrd landazuri,Municipal Disaster Risk Management Council Landazuri,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD LEBRIJA,cmgrd lebrija,Municipal Disaster Risk Management Council Lebrija,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD LOS GUAPOTA,cmgrd los guapota,Municipal Disaster Risk Management Council Los Guapota,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD LOS SANTOS,cmgrd los santos,Municipal Disaster Risk Management Council Los Santos,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD MACARAVITA,cmgrd macaravita,Municipal Disaster Risk Management Council Macaravita,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD MATANZA,cmgrd matanza,Municipal Disaster Risk Management Council Matanza,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD MOGOTES,cmgrd mogotes,Municipal Disaster Risk Management Council Mogotes,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD MOLAGAVITA,cmgrd molagavita,Municipal Disaster Risk Management Council Molagavita,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD OCAMONTE,cmgrd ocamonte,Municipal Disaster Risk Management Council Ocamonte,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD OIBA,cmgrd oiba,Municipal Disaster Risk Management Council Oiba,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD ONZAGA,cmgrd onzaga,Municipal Disaster Risk Management Council Onzaga,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD PALMAS DEL SOCORRO,cmgrd palmas del socorro,Municipal Disaster Risk Management Council Palmas of the Socorro,token_dictionary_match,"cmgrd, del"
known_or_handled_by,CMGRD PIEDECUESTA,cmgrd piedecuesta,Municipal Disaster Risk Management Council Piedecuesta,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD PINCHOTE,cmgrd pinchote,Municipal Disaster Risk Management Council Pinchote,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD PUENTE NACIONAL,cmgrd puente nacional,Municipal Disaster Risk Management Council Puente Nacional,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD PUERTO PARRA,cmgrd puerto parra,Municipal Disaster Risk Management Council Puerto Parra,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD PUERTO WILCHES,cmgrd puerto wilches,Municipal Disaster Risk Management Council Puerto Wilches,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD RIONEGRO,cmgrd rionegro,Municipal Disaster Risk Management Council Rionegro,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD SABANA DE TORRES,cmgrd sabana de torres,Municipal Disaster Risk Management Council Sabana of Torres,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD SAN ANDRES,cmgrd san andres,Municipal Disaster Risk Management Council San Andres,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD SAN BENITO,cmgrd san benito,Municipal Disaster Risk Management Council San Benito,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD SAN GIL,cmgrd san gil,Municipal Disaster Risk Management Council San Gil,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD SAN JOAQUIN,cmgrd san joaquin,Municipal Disaster Risk Management Council San Joaquin,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD SAN JOSE DE MIRANDA,cmgrd san jose de miranda,Municipal Disaster Risk Management Council San Jose of Miranda,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD SAN VICENTE,cmgrd san vicente,Municipal Disaster Risk Management Council San Vicente,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD SAN VICENTE DE CHUCURI,cmgrd san vicente de chucuri,Municipal Disaster Risk Management Council San Vicente of Chucuri,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD SANTA BARBARA,cmgrd santa barbara,Municipal Disaster Risk Management Council Santa Barbara,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD SANTA HELENA DEL OPON,cmgrd santa helena del opon,Municipal Disaster Risk Management Council Santa Helena of the Opon,token_dictionary_match,"cmgrd, del"
known_or_handled_by,CMGRD SIMACOTA,cmgrd simacota,Municipal Disaster Risk Management Council Simacota,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD SUAITA,cmgrd suaita,Municipal Disaster Risk Management Council Suaita,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD SUCRE,cmgrd sucre,Municipal Disaster Risk Management Council Sucre,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD SURATA,cmgrd surata,Municipal Disaster Risk Management Council Surata,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD TONA,cmgrd tona,Municipal Disaster Risk Management Council Tona,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD VALLE DE SAN JOSE,cmgrd valle de san jose,Municipal Disaster Risk Management Council Valle of San Jose,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD VILLANUEVA,cmgrd villanueva,Municipal Disaster Risk Management Council Villanueva,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD ZAPATOCA,cmgrd zapatoca,Municipal Disaster Risk Management Council Zapatoca,token_dictionary_match,cmgrd
known_or_handled_by,COMANDANTE DE BOMBEROS ARATOCA,comandante de bomberos aratoca,Comandante of Fire Department Aratoca,token_dictionary_match,"de, bomberos"
known_or_handled_by,COMANDANTE DE BOMBEROS LOS SANTOS,comandante de bomberos los santos,Comandante of Fire Department Los Santos,token_dictionary_match,"de, bomberos"
known_or_handled_by,COMANDANTE DE BOMBEROS PALMAR,comandante de bomberos palmar,Comandante of Fire Department Palmar,token_dictionary_match,"de, bomberos"
known_or_handled_by,COMANDANTE DE BOMBEROS VELEZ,comandante de bomberos velez,Comandante of Fire Department Velez,token_dictionary_match,"de, bomberos"
known_or_handled_by,DEFENSA CIVIL DE CIMITARRA,defensa civil de cimitarra,Civil Defense of Cimitarra,token_dictionary_match,"defensa civil, de"
known_or_handled_by,DEFENSA CIVIL DE CURITI,defensa civil de curiti,Civil Defense of Curiti,token_dictionary_match,"defensa civil, de"
known_or_handled_by,GOBERNACION DE SANTANDER,gobernacion de santander,Gobernacion of Santander,token_dictionary_match,de
known_or_handled_by,INVIAS,invias,Invias,standardized_passthrough,
known_or_handled_by,POLICIA DE CARRETERAS,policia de carreteras,Policia of Carreteras,token_dictionary_match,de
known_or_handled_by,POLICIA NACIONAL DE JORDAN,policia nacional de jordan,National Police of Jordan,token_dictionary_match,"policia nacional, de"
known_or_handled_by,POLICIA NACIONAL Y COMUNIDAD,policia nacional y comunidad,National Police and Comunidad,token_dictionary_match,"policia nacional, y"
known_or_handled_by,QUEBRADA LA LOMERA Y LA JABONERA,quebrada la lomera y la jabonera,Quebrada the Lomera and the Jabonera,token_dictionary_match,"la, y, la"
known_or_handled_by,RUTA DEL CACAO Y BOMBEROS DE FLORIDA,ruta del cacao y bomberos de florida,Ruta of the Cacao and Fire Department of Florida,token_dictionary_match,"del, y, bomberos, de"
known_or_handled_by,SIMACOTA,simacota,Simacota,standardized_passthrough,
known_or_handled_by,,,Not reported,missing_value,
locality,12 VEREDA AFECTADAS,12 vereda afectadas,12 Rural Hamlet Afectadas,token_dictionary_match,vereda
locality,29 VEREDAS,29 veredas,29 Veredas,locality_passthrough,
locality,4 VEREDAS,4 veredas,4 Veredas,locality_passthrough,
locality,"6 barrios así: los Laureles, Villa rosa, Santa Bárbara, Brisas del Poblado, bendición de Dios, los Álamos",6 barrios asi los laureles villa rosa santa barbara brisas del poblado bendicion de dios los alamos,6 Barrios Asi Los Laureles Villa Rosa Santa Barbara Brisas of the Poblado Bendicion of Dios Los Alamos,token_dictionary_match,"del, de"
locality,8 BARRIOS,8 barrios,8 Barrios,locality_passthrough,
locality,8 VEREDAS,8 veredas,8 Veredas,locality_passthrough,
locality,9 CORREGIMIENTOS CUESTA RICA Y OTROS,9 corregimientos cuesta rica y otros,9 Corregimientos Cuesta Rica and Otros,token_dictionary_match,y
locality,ALTO DE LOS CACAOS,alto de los cacaos,Alto of Los Cacaos,token_dictionary_match,de
locality,ALTOS DE GUATIGUARA,altos de guatiguara,Altos of Guatiguara,token_dictionary_match,de
locality,ANILLO VIAL Y SECTOR ACAPULCO,anillo vial y sector acapulco,Anillo Vial and Sector Acapulco,token_dictionary_match,y
locality,AREA RURAL,area rural,Rural area,exact_dictionary_match,area rural
locality,AREA URBANA Y RURAL,area urbana y rural,Area Urbana and Rural,token_dictionary_match,y
locality,AREAS URBANA Y RURAL,areas urbana y rural,Areas Urbana and Rural,token_dictionary_match,y
locality,ASENTAMIENTO ASOMIFLOR,asentamiento asomiflor,Asentamiento Asomiflor,locality_passthrough,
locality,ASENTAMIENTO LA BENDICION DE DIOS,asentamiento la bendicion de dios,Asentamiento the Bendicion of Dios,token_dictionary_match,"la, de"
locality,ASENTAMIENTO LA PAZ,asentamiento la paz,Asentamiento the Paz,token_dictionary_match,la
locality,ASENTAMIENTO LUZ DE ESPERANZA,asentamiento luz de esperanza,Asentamiento Luz of Esperanza,token_dictionary_match,de
locality,ASENTAMIENTOS CONVIVIR Y ALTOS DE ANDINA,asentamientos convivir y altos de andina,Asentamientos Convivir and Altos of Andina,token_dictionary_match,"y, de"
locality,AUTOVIA BUCARAMANGA Pamplona,autovia bucaramanga pamplona,Autovia Bucaramanga Pamplona,locality_passthrough,
locality,AVENIDA LA ROSITA,avenida la rosita,Avenida the Rosita,token_dictionary_match,la
locality,BAJO RIONEGRO SECTOR EL TALADRO SAN RAFAEL,bajo rionegro sector el taladro san rafael,Bajo Rionegro Sector the Taladro San Rafael,token_dictionary_match,el
locality,BAJO RIONEGRO SECTOR QUEBRADA PAYANDE,bajo rionegro sector quebrada payande,Bajo Rionegro Sector Quebrada Payande,locality_passthrough,
locality,BAJO RIONEGRO Y CORREGIMIENTO LA TIGRA,bajo rionegro y corregimiento la tigra,Bajo Rionegro and Township the Tigra,token_dictionary_match,"y, corregimiento, la"
locality,"BAJO RIONEGRO, PAPAYA, SAN JOSE DE LOS CHORROS",bajo rionegro papaya san jose de los chorros,Bajo Rionegro Papaya San Jose of Los Chorros,token_dictionary_match,de
locality,BAJO SIMACOTA,bajo simacota,Bajo Simacota,locality_passthrough,
locality,BAJO SIMACOTA SECTOR EL OPON,bajo simacota sector el opon,Bajo Simacota Sector the Opon,token_dictionary_match,el
locality,"BAJO SIMACOTA, SECTOR EL OPON Y LA ROCHELA",bajo simacota sector el opon y la rochela,Bajo Simacota Sector the Opon and the Rochela,token_dictionary_match,"el, y, la"
locality,BARRIO 20 DE AGOSTO,barrio 20 de agosto,Neighborhood 20 of Agosto,token_dictionary_match,"barrio, de"
locality,BARRIO 7 DE AGOSTO,barrio 7 de agosto,Neighborhood 7 of Agosto,token_dictionary_match,"barrio, de"
locality,BARRIO ALARES,barrio alares,Neighborhood Alares,token_dictionary_match,barrio
locality,BARRIO ALTOS DEL CAMPESTRE,barrio altos del campestre,Neighborhood Altos of the Campestre,token_dictionary_match,"barrio, del"
locality,BARRIO BARRO BLANCO,barrio barro blanco,Neighborhood Barro Blanco,token_dictionary_match,barrio
locality,BARRIO BELLA VISTA CIENAGA YARI,barrio bella vista cienaga yari,Neighborhood Bella Vista Cienaga Yari,token_dictionary_match,barrio
locality,BARRIO BELLA VISTA Y 3 ASENTAMIENTOS,barrio bella vista y 3 asentamientos,Neighborhood Bella Vista and 3 Asentamientos,token_dictionary_match,"barrio, y"
locality,BARRIO BELLAVISTA,barrio bellavista,Neighborhood Bellavista,token_dictionary_match,barrio
locality,BARRIO BOSTON,barrio boston,Neighborhood Boston,token_dictionary_match,barrio
locality,"BARRIO BOSTOS, LA BENDICION DE DIOS Y OTROS",barrio bostos la bendicion de dios y otros,Neighborhood Bostos the Bendicion of Dios and Otros,token_dictionary_match,"barrio, la, de, y"
locality,BARRIO CONVIVIR,barrio convivir,Neighborhood Convivir,token_dictionary_match,barrio
locality,BARRIO EL CENTRO,barrio el centro,Neighborhood the Centro,token_dictionary_match,"barrio, el"
locality,BARRIO EL CENTRO Y VIA NACIONAL,barrio el centro y via nacional,Neighborhood the Centro and Road Nacional,token_dictionary_match,"barrio, el, y, via"
locality,BARRIO EL GUAYABITO,barrio el guayabito,Neighborhood the Guayabito,token_dictionary_match,"barrio, el"
locality,BARRIO EL POBLADO Y GALAN,barrio el poblado y galan,Neighborhood the Poblado and Galan,token_dictionary_match,"barrio, el, y"
locality,BARRIO EL REPOSO,barrio el reposo,Neighborhood the Reposo,token_dictionary_match,"barrio, el"
locality,BARRIO ESTORAQUES,barrio estoraques,Neighborhood Estoraques,token_dictionary_match,barrio
locality,BARRIO GALAN,barrio galan,Neighborhood Galan,token_dictionary_match,barrio
locality,BARRIO LA BENDICION DE DIOS Y 7 DE AGOSTO,barrio la bendicion de dios y 7 de agosto,Neighborhood the Bendicion of Dios and 7 of Agosto,token_dictionary_match,"barrio, la, de, y, de"
locality,BARRIO LA CADENA,barrio la cadena,Neighborhood the Cadena,token_dictionary_match,"barrio, la"
locality,BARRIO LA COLINA,barrio la colina,Neighborhood the Colina,token_dictionary_match,"barrio, la"
locality,BARRIO LA COLINA RIO DE ORO,barrio la colina rio de oro,Neighborhood the Colina Rio of Oro,token_dictionary_match,"barrio, la, de"
locality,BARRIO LA FERIA,barrio la feria,Neighborhood the Feria,token_dictionary_match,"barrio, la"
locality,BARRIO LA UNIVERSIDAD,barrio la universidad,Neighborhood the Universidad,token_dictionary_match,"barrio, la"
locality,BARRIO LOS CEREZOS Y RICAURTE,barrio los cerezos y ricaurte,Neighborhood Los Cerezos and Ricaurte,token_dictionary_match,"barrio, y"
locality,BARRIO LOS OJITOS,barrio los ojitos,Neighborhood Los Ojitos,token_dictionary_match,barrio
locality,BARRIO NUEVA COLOMBIA,barrio nueva colombia,Neighborhood Nueva Colombia,token_dictionary_match,barrio
locality,BARRIO ORO NEGRO,barrio oro negro,Neighborhood Oro Negro,token_dictionary_match,barrio
locality,BARRIO PRIMERO DE MAYO,barrio primero de mayo,Neighborhood Primero of Mayo,token_dictionary_match,"barrio, de"
locality,BARRIO RICAURTE,barrio ricaurte,Neighborhood Ricaurte,token_dictionary_match,barrio
locality,BARRIO SAN JORGE,barrio san jorge,Neighborhood San Jorge,token_dictionary_match,barrio
locality,BARRIO SAN MARTIN,barrio san martin,Neighborhood San Martin,token_dictionary_match,barrio
locality,BARRIO TEJADITOS,barrio tejaditos,Neighborhood Tejaditos,token_dictionary_match,barrio
locality,BARRIO VILLA HELENA,barrio villa helena,Neighborhood Villa Helena,token_dictionary_match,barrio
locality,"BARRIO VILLA ROSA, CALLE 45 Y ZONA NORTE",barrio villa rosa calle 45 y zona norte,Neighborhood Villa Rosa Calle 45 and Zona Norte,token_dictionary_match,"barrio, y"
locality,BARRIO VILLANUEVA,barrio villanueva,Neighborhood Villanueva,token_dictionary_match,barrio
locality,"BARRIOS AQUILEO PARRA, PABLO SEXTO",barrios aquileo parra pablo sexto,"Barrios Aquileo Parra, Pablo Sexto",locality_passthrough,
locality,"BARRIOS Carrizal y asentamientos Convivir, 5 de enero",barrios carrizal y asentamientos convivir 5 de enero,Barrios Carrizal and Asentamientos Convivir 5 of Enero,token_dictionary_match,"y, de"
locality,BARRIOS EL CENTRO Y KENEDDY,barrios el centro y keneddy,Barrios the Centro and Keneddy,token_dictionary_match,"el, y"
locality,"BARRIOS José Antonio Galán, café Madrid y zona Norte",barrios jose antonio galan cafe madrid y zona norte,Barrios Jose Antonio Galan Cafe Madrid and Zona Norte,token_dictionary_match,y
locality,BARRIOS LA TRINIDAJ Y SANTA HELENA,barrios la trinidaj y santa helena,Barrios the Trinidaj and Santa Helena,token_dictionary_match,"la, y"
locality,BARRIOS SANTA CRUZ Y LA COLINA,barrios santa cruz y la colina,Barrios Santa Cruz and the Colina,token_dictionary_match,"y, la"
locality,BARRIOS VILLA PIEDRA DEL SOL Y SANTA COLOMA,barrios villa piedra del sol y santa coloma,Barrios Villa Piedra of the Sol and Santa Coloma,token_dictionary_match,"del, y"
locality,BERRIOS EL CENTRO Y SAGRADO CORAZON,berrios el centro y sagrado corazon,Berrios the Centro and Sagrado Corazon,token_dictionary_match,"el, y"
locality,CALLE 10 CON CARRERA 15,calle 10 con carrera 15,Calle 10 Con Carrera 15,locality_passthrough,
locality,"CALLE 45, SECTOR EL PALENQUE",calle 45 sector el palenque,Calle 45 Sector the Palenque,token_dictionary_match,el
locality,CALLE 8 Y SECTOR PASEO DEL MANGO,calle 8 y sector paseo del mango,Calle 8 and Sector Paseo of the Mango,token_dictionary_match,"y, del"
locality,CARRERA 35 CENTRO DE BUCARAMANGA,carrera 35 centro de bucaramanga,Carrera 35 Centro of Bucaramanga,token_dictionary_match,de
locality,CARRERA 6 SALIDA A BARBOSA,carrera 6 salida a barbosa,Carrera 6 Salida A Barbosa,locality_passthrough,
locality,CASCO URBANO,casco urbano,Casco Urbano,locality_passthrough,
locality,CASCO URBANO BARRIO EL CENTRO,casco urbano barrio el centro,Casco Urbano Neighborhood the Centro,token_dictionary_match,"barrio, el"
locality,"CASCO URBANO BARRIOS BELLAVISTA, EL ELDA, 7 DE ABRIL",casco urbano barrios bellavista el elda 7 de abril,Casco Urbano Barrios Bellavista the Elda 7 of Abril,token_dictionary_match,"el, de"
locality,CASCO URBANO CURITI,casco urbano curiti,Casco Urbano Curiti,locality_passthrough,
locality,CASCO URBANO DE BARRANCABERMEJA,casco urbano de barrancabermeja,Casco Urbano of Barrancabermeja,token_dictionary_match,de
locality,CASCO URBANO DE FLORIAN,casco urbano de florian,Casco Urbano of Florian,token_dictionary_match,de
locality,CASCO URBANO DE SAN GIL ZONA TURISTICA,casco urbano de san gil zona turistica,Casco Urbano of San Gil Zona Turistica,token_dictionary_match,de
locality,CASCO URBANO SECTORES DEL HOSPITAL REGIONAL,casco urbano sectores del hospital regional,Casco Urbano Sectores of the Hospital Regional,token_dictionary_match,del
locality,"CASCO URBANO Y VEREDAS SAN Ignacio, san Isidro",casco urbano y veredas san ignacio san isidro,Casco Urbano and Veredas San Ignacio San Isidro,token_dictionary_match,y
locality,CASCO URBANOS DE SAN GIL,casco urbanos de san gil,Casco Urbanos of San Gil,token_dictionary_match,de
locality,CEMENTERIO LA RESURRECCION,cementerio la resurreccion,Cementerio the Resurreccion,token_dictionary_match,la
locality,CENTRO,centro,Centro,locality_passthrough,
locality,CENTRO POBLADO CASA DE BARRO,centro poblado casa de barro,Centro Poblado Casa of Barro,token_dictionary_match,de
locality,CENTRO POBLADO CASCAJERO,centro poblado cascajero,Centro Poblado Cascajero,locality_passthrough,
locality,CERCA AL CASCO URBANO (VEREDA san jose chaguete),cerca al casco urbano vereda san jose chaguete,Cerca Al Casco Urbano Rural Hamlet San Jose Chaguete,token_dictionary_match,vereda
locality,CERCA AL CASCO URBANO JORDAN,cerca al casco urbano jordan,Cerca Al Casco Urbano Jordan,locality_passthrough,
locality,CERRO LA HERMITA,cerro la hermita,Cerro the Hermita,token_dictionary_match,la
locality,CERRO PICACHO DEL ZORRO,cerro picacho del zorro,Cerro Picacho of the Zorro,token_dictionary_match,del
locality,CERRO SAN RAMON,cerro san ramon,Cerro San Ramon,locality_passthrough,
locality,CIUDADELA NUEVO GIRON,ciudadela nuevo giron,Ciudadela Nuevo Giron,locality_passthrough,
locality,COLAPSO ALCANTARILLADO MUNICIPAL,colapso alcantarillado municipal,Colapso Alcantarillado Municipal,locality_passthrough,
locality,CORREGIMIENTO ACAPULCO,corregimiento acapulco,Township Acapulco,token_dictionary_match,corregimiento
locality,CORREGIMIENTO BADO REAL,corregimiento bado real,Township Bado Real,token_dictionary_match,corregimiento
locality,CORREGIMIENTO BARRIO NUEVO,corregimiento barrio nuevo,Township Neighborhood Nuevo,token_dictionary_match,"corregimiento, barrio"
locality,CORREGIMIENTO BOCAS DEL ROSARIO,corregimiento bocas del rosario,Township Bocas of the Rosario,token_dictionary_match,"corregimiento, del"
locality,CORREGIMIENTO CHINGALE,corregimiento chingale,Township Chingale,token_dictionary_match,corregimiento
locality,CORREGIMIENTO DE BERLIN,corregimiento de berlin,Township of Berlin,token_dictionary_match,"corregimiento, de"
locality,CORREGIMIENTO DE CINCELADA VEREDA TURE,corregimiento de cincelada vereda ture,Township of Cincelada Rural Hamlet Ture,token_dictionary_match,"corregimiento, de, vereda"
locality,CORREGIMIENTO DE PUERTO ARAUJO,corregimiento de puerto araujo,Township of Puerto Araujo,token_dictionary_match,"corregimiento, de"
locality,CORREGIMIENTO EL CENTRO SECTOR LA CARRILERA,corregimiento el centro sector la carrilera,Township the Centro Sector the Carrilera,token_dictionary_match,"corregimiento, el, la"
locality,CORREGIMIENTO EL CENTRO SECTOR LA COLORADA,corregimiento el centro sector la colorada,Township the Centro Sector the Colorada,token_dictionary_match,"corregimiento, el, la"
locality,CORREGIMIENTO EL MOHAN,corregimiento el mohan,Township the Mohan,token_dictionary_match,"corregimiento, el"
locality,CORREGIMIENTO GALAPAGOS,corregimiento galapagos,Township Galapagos,token_dictionary_match,corregimiento
locality,CORREGIMIENTO LA FUENTE,corregimiento la fuente,Township the Fuente,token_dictionary_match,"corregimiento, la"
locality,CORREGIMIENTO LA INDIA,corregimiento la india,Township the India,token_dictionary_match,"corregimiento, la"
locality,CORREGIMIENTO LA PLAZUELA,corregimiento la plazuela,Township the Plazuela,token_dictionary_match,"corregimiento, la"
locality,CORREGIMIENTO LA PUTANA,corregimiento la putana,Township the Putana,token_dictionary_match,"corregimiento, la"
locality,CORREGIMIENTO LA TIGRA,corregimiento la tigra,Township the Tigra,token_dictionary_match,"corregimiento, la"
locality,"CORREGIMIENTO LA TIGRA, CUESTA RICA, BAJO RIONEGRO, HONDURAS",corregimiento la tigra cuesta rica bajo rionegro honduras,Township the Tigra Cuesta Rica Bajo Rionegro Honduras,token_dictionary_match,"corregimiento, la"
locality,CORREGIMIENTO LAGUNA DE ORTICES,corregimiento laguna de ortices,Township Laguna of Ortices,token_dictionary_match,"corregimiento, de"
locality,CORREGIMIENTO PLAN DE ARMAS,corregimiento plan de armas,Township Plan of Armas,token_dictionary_match,"corregimiento, de"
locality,CORREGIMIENTO PROVINCIA,corregimiento provincia,Township Provincia,token_dictionary_match,corregimiento
locality,CORREGIMIENTO PUENTE SOGAMOSO,corregimiento puente sogamoso,Township Puente Sogamoso,token_dictionary_match,corregimiento
locality,CORREGIMIENTO PUERTO ARAUJO Y VEREDA EL SAN JUAN,corregimiento puerto araujo y vereda el san juan,Township Puerto Araujo and Rural Hamlet the San Juan,token_dictionary_match,"corregimiento, y, vereda, el"
locality,CORREGIMIENTO PUERTO ARAUJO Y VEREDA EL VALIENTE,corregimiento puerto araujo y vereda el valiente,Township Puerto Araujo and Rural Hamlet the Valiente,token_dictionary_match,"corregimiento, y, vereda, el"
locality,CORREGIMIENTO PUERTO NUEVO,corregimiento puerto nuevo,Township Puerto Nuevo,token_dictionary_match,corregimiento
locality,CORREGIMIENTO RIACHUELO,corregimiento riachuelo,Township Riachuelo,token_dictionary_match,corregimiento
locality,CORREGIMIENTO SAN BENITO NUEVO,corregimiento san benito nuevo,Township San Benito Nuevo,token_dictionary_match,corregimiento
locality,CORREGIMIENTO SAN JOSE DE SUAITA,corregimiento san jose de suaita,Township San Jose of Suaita,token_dictionary_match,"corregimiento, de"
